Batch,Total,Techniques,Workplace,Garage,Kitchen,Hall
115,6.277516667,0.43665,1.81835,1.4086,0.554166667,2.05975
116,5.412966667,0.443233333,1.490683333,0.796766667,0.549766667,2.132516667
117,5.166616666,0.6316,1.395366667,0.393383333,0.568083333,2.178183333
118,5.682716667,1.070016667,1.37625,0.3625,0.545866667,2.328083333
119,4.626433333,1.01625,1.324483333,0.3131,0.548666667,1.423933333
120,4.324100001,0.820666667,1.296166667,0.313066667,0.5467,1.3475
121,3.848366667,0.539166667,0.879016667,0.319083333,0.604583333,1.506516667
122,4.515033334,0.564366667,1.059566667,0.41385,0.694516667,1.782733333
123,5.258333334,0.9612,1.2265,0.657666667,0.50255,1.910416667
124,6.318500001,1.2237,1.221166667,0.773116667,0.684216667,2.4163
125,6.653616666,1.1087,1.297616667,0.771833333,0.958933333,2.516533333
126,6.678366667,1.08495,1.407116667,0.82245,0.862633333,2.501216667
127,6.306516668,0.577566667,1.475316667,0.916016667,0.86015,2.477466667
128,6.040766667,0.426083333,0.889316667,1.381033333,0.857966667,2.486366667
129,5.978866666,0.47175,1.012233333,1.25085,0.8512,2.392833333
130,6.316649999,0.485883333,1.544533333,1.028,0.8975,2.360733333
131,6.186933333,0.735183333,1.518266667,0.95745,0.852333333,2.1237
132,6.084616666,0.729083333,1.5004,0.918916667,1.073983333,1.862233333
133,5.000149999,0.461833333,1.499116667,0.343233333,1.091883333,1.604083333
134,4.696766668,0.308316667,1.577316667,0.4381,1.086516667,1.286516667
135,5.1954,0.36185,1.5532,0.487783333,1.376816667,1.41575
136,4.1063,0.483066667,0.89725,0.483133333,0.919066667,1.323783333
137,4.56855,0.984616667,0.912633333,0.563133333,0.79785,1.310316667
138,5.091083333,1.101983333,1.017383333,0.546866667,0.752183333,1.672666667
139,5.38905,1.099116667,1.281766667,0.559783333,0.751883333,1.6965
140,5.762366666,1.094483333,1.2603,0.871083333,0.7499,1.7866
141,6.458516667,1.04615,1.86805,0.93925,0.7203,1.884766667
142,7.195916667,0.9656,2.1361,0.978183333,0.704916667,2.411116667
143,5.792350001,0.612366667,1.569933333,0.942816667,0.335166667,2.332066667
144,5.831966666,0.5254,1.501333333,1.203283333,0.293816667,2.308133333
145,5.581883333,0.5138,1.502333333,1.1943,0.366016667,2.005433333
146,5.420816667,0.472533333,1.4553,1.192016667,0.408,1.892966667
147,5.691683334,0.465566667,1.406116667,1.134366667,0.751183333,1.93445
148,5.11285,0.46115,0.818233333,1.171616667,0.74655,1.9153
149,4.715183333,0.459883333,0.82885,0.79265,0.746616667,1.887183333
150,5.6401,0.4605,1.505016667,0.937133333,0.744283333,1.993166667
151,6.529933334,0.4947,2.803166667,0.936716667,0.794283333,1.501066667
152,5.816533333,0.506783333,2.577816667,0.93565,0.83095,0.965333333
153,4.193033333,0.542216667,0.962933333,0.892033333,0.8302,0.96565
154,4.538166665,0.681333333,1.239033333,0.830083333,0.833233333,0.954483333
155,4.52615,1.034183333,1.2342,0.481066667,0.825833333,0.950866667
156,4.745916667,1.252466667,1.289116667,0.470533333,0.782066667,0.951733333
157,4.722450001,1.217616667,1.47245,0.468116667,0.6139,0.950366667
158,4.5821,1.1169,1.667616667,0.478433333,0.36875,0.9504
159,4.161316667,0.8278,1.3855,0.635716667,0.369283333,0.943016667
160,4.44125,0.626066667,1.387983333,1.0292,0.455383333,0.942616667
161,4.911183333,0.625016667,1.4422,1.280933333,0.618033333,0.945
162,5.108266668,0.6246,1.334616667,1.384416667,0.820416667,0.944216667
163,5.158183334,0.624066667,1.303966667,1.5458,0.742366667,0.941983333
164,4.66495,0.6243,0.916783333,1.443133333,0.740516667,0.940216667
165,4.052733333,0.624483333,0.835216667,0.913233333,0.740866667,0.938933333
166,3.934149999,0.625983333,0.753433333,0.8731,0.7405,0.941133333
167,3.838766667,0.650616667,0.82785,0.682516667,0.737933333,0.93985
168,3.678283333,0.72445,0.815,0.461633333,0.73805,0.93915
169,3.7693,0.8065,0.82405,0.461516667,0.737683333,0.93955
170,4.553966666,1.191433333,1.157983333,0.45945,0.69335,1.05175
171,4.553766665,1.102633333,1.178633333,0.462083333,0.606583333,1.203833333
172,4.728866667,1.09835,1.212216667,0.4617,0.28565,1.67095
173,6.674983332,1.062483333,0.957433333,0.460433333,0.2847,3.909933333
174,7.953083333,0.964983333,1.3964,0.594783333,0.284016667,4.7129
175,7.909333334,0.660283333,1.473566667,0.90385,0.284716667,4.586916667
176,7.970066667,0.35565,1.51405,1.140616667,0.28575,4.674
177,7.12795,0.356166667,1.498733333,1.1239,0.282616667,3.866533333
178,7.372083333,0.355433333,1.484883333,1.121716667,0.282516667,4.127533333
179,6.725749999,0.353833333,1.033083333,1.106733333,0.281283333,3.950816667
180,7.012433334,0.366983333,0.926416667,1.333616667,0.28065,4.104766667
181,6.371883334,0.380316667,0.936416667,0.86615,0.283833333,3.905166667
182,6.08925,0.381716667,1.030683333,0.314266667,0.280483333,4.0821
183,6.089600001,0.385166667,1.214266667,0.3123,0.275416667,3.90245
184,6.476966666,0.43125,1.380883333,0.3123,0.26945,4.083083333
185,6.457716667,0.532833333,1.431966667,0.312983333,0.267266667,3.912666667
186,6.721233333,0.707933333,1.35075,0.315966667,0.265283333,4.0813
187,7.136083332,1.146783333,1.367033333,0.416083333,0.258933333,3.94725
188,7.151716666,1.146333333,1.07445,0.64495,0.2565,4.029483333
189,7.656233333,1.140816667,1.413966667,0.777533333,0.261333333,4.062583333
190,7.927933334,1.104866667,1.6967,0.934166667,0.26135,3.93085
191,8.823333334,1.004516667,2.2149,1.251983333,0.261316667,4.090616667
192,9.185433333,0.69745,3.1113,1.485566667,0.257183333,3.633933333
